uuid,file_name,file_path,file_type,evidence_category,category,subject,file_size_bytes,confidence_score,location_path
doc-0271,Naples2_072321_03.jpg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\RENDERS\072321\Naples2_072321_03.jpg",IMAGE,design_file,Design Files (DWG/CAD),Naples2 072321 03,1617999,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\RENDERS\072321"
doc-0272,Naples2_072321_04.jpg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\RENDERS\072321\Naples2_072321_04.jpg",IMAGE,design_file,Design Files (DWG/CAD),Naples2 072321 04,1638595,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\RENDERS\072321"
doc-0273,Thumbs.db,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\RENDERS\072321\Thumbs.db",OTHER,design_file,Design Files (DWG/CAD),Thumbs,16384,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\RENDERS\072321"
doc-0274,3.28.22 - 6075_REV #5.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\3.28.22 - 6075_REV #5.bak",OTHER,design_file,Design Files (DWG/CAD),6075 English Oaks Project Document,4327014,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0275,A1 (Rad's conflicted copy 2022-04-21).bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\A1 (Rad's conflicted copy 2022-04-21).bak",OTHER,design_file,Design Files (DWG/CAD),A1 (Rad's conflicted copy 2022 04 21),7547834,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0276,A1.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\A1.bak",OTHER,design_file,Design Files (DWG/CAD),A1,7948727,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0277,A1.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\A1.dwg",DWG,design_file,Design Files (DWG/CAD),A1,7919053,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0278,a1test.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\a1test.bak",OTHER,design_file,Design Files (DWG/CAD),a1test,329189,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0279,A1_1c35014d9.log,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\A1_1c35014d9.log",OTHER,design_file,Design Files (DWG/CAD),A1 1c35014d9,5578,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0280,acad.err,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\acad.err",OTHER,design_file,Design Files (DWG/CAD),acad,200,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0281,DJI_0004.JPG,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\DJI_0004.JPG",IMAGE,design_file,Design Files (DWG/CAD),DJI 0004,7020904,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0282,DJI_0051.MOV,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\DJI_0051.MOV",OTHER,design_file,Design Files (DWG/CAD),DJI 0051,784874799,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0283,DJI_0060.MOV,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\DJI_0060.MOV",OTHER,design_file,Design Files (DWG/CAD),DJI 0060,300061193,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0284,Drawing1_19dcff6c9.log,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Drawing1_19dcff6c9.log",OTHER,design_file,Design Files (DWG/CAD),Architectural Drawing,685,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0285,E-1.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\E-1.bak",OTHER,design_file,Design Files (DWG/CAD),E 1,1039484,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0286,E-1.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\E-1.dwg",DWG,design_file,Design Files (DWG/CAD),E 1,1334081,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0287,FDN detail.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\FDN detail.dwg",DWG,design_file,Design Files (DWG/CAD),FDN detail,430311,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0288,M-1.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\M-1.bak",OTHER,design_file,Design Files (DWG/CAD),M 1,1035903,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0289,M-1.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\M-1.dwg",DWG,design_file,Design Files (DWG/CAD),M 1,866726,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0290,P-1.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\P-1.bak",OTHER,design_file,Design Files (DWG/CAD),P 1,467732,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0291,P-1.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\P-1.dwg",DWG,design_file,Design Files (DWG/CAD),P 1,467988,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0292,plot.log,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\plot.log",OTHER,design_file,Design Files (DWG/CAD),plot,7257,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0293,"Plumbing Schedules - WSFU, DFU Calculations - PARTIAL.xlsx","\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Plumbing Schedules - WSFU, DFU Calculations - PARTIAL.xlsx",XLSX,design_file,Design Files (DWG/CAD),"Plumbing Schedules   WSFU, DFU Calculations   PARTIAL",19072,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0294,"Plumbing Schedules - WSFU, DFU Calculations.xlsx","\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Plumbing Schedules - WSFU, DFU Calculations.xlsx",XLSX,design_file,Design Files (DWG/CAD),"Plumbing Schedules   WSFU, DFU Calculations",19093,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0295,print file.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\print file.bak",OTHER,design_file,Design Files (DWG/CAD),print file,477477,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0296,print file.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\print file.dwg",DWG,design_file,Design Files (DWG/CAD),print file,475566,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0297,Q U E S T I O N S  FOR 6075 ENGLISH OAKS.docx,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Q U E S T I O N S  FOR 6075 ENGLISH OAKS.docx",DOCX,design_file,Design Files (DWG/CAD),6075 English Oaks Project Document,14485,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0298,SITE.PNG,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\SITE.PNG",IMAGE,design_file,Design Files (DWG/CAD),SITE,163088,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0299,T-1.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\T-1.bak",OTHER,design_file,Design Files (DWG/CAD),T 1,449708,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0300,T-1.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\T-1.dwg",DWG,design_file,Design Files (DWG/CAD),T 1,450670,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0301,TIT48.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\TIT48.bak",OTHER,design_file,Design Files (DWG/CAD),TIT48,1514876,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0302,TIT48.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\TIT48.dwg",DWG,design_file,Design Files (DWG/CAD),TIT48,1542438,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files"
doc-0303,6075 English Oaks_0512.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Archive 2021\6075 English Oaks_0512.dwg",DWG,design_file,Design Files (DWG/CAD),6075 English Oaks Project Document,2336039,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Archive 2021"
doc-0304,Drawing1_1176c8ce0.log,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Archive 2021\Drawing1_1176c8ce0.log",OTHER,design_file,Design Files (DWG/CAD),Architectural Drawing,358,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\Archive 2021"
doc-0305,- Section 2.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 2.bak",OTHER,design_file,Design Files (DWG/CAD),  Section 2,3757101,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0306,- Section 2.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 2.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 2,3788340,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0307,- Section 2.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 2.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 2,22325,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0308,- Section 3.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 3.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 3,603949,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0309,- Section 3.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 3.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 3,22322,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0310,- Section 4.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 4.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 4,351067,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0311,- Section 4.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 4.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 4,22326,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0312,- Section 5.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 5.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 5,472347,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0313,- Section 5.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 5.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 5,22322,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0314,- Section 6.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 6.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 6,48719,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0315,- Section 6.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 6.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 6,22321,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0316,- Section 7.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 7.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 7,49679,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0317,- Section 7.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 7.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 7,22320,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0318,- Section 8.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 8.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 8,676683,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0319,- Section 8.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 8.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 8,22321,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0320,- Section 9.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 9.dwg",DWG,design_file,Design Files (DWG/CAD),  Section 9,431843,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0321,- Section 9.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\- Section 9.pcp",OTHER,design_file,Design Files (DWG/CAD),  Section 9,22324,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0322,6075 English Oaks Ln_040722 - Elevation - East.bak,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\6075 English Oaks Ln_040722 - Elevation - East.bak",OTHER,design_file,Design Files (DWG/CAD),6075 English Oaks Project Document,430348,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0323,6075 English Oaks Ln_040722 - Elevation - East.dwg,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\6075 English Oaks Ln_040722 - Elevation - East.dwg",DWG,design_file,Design Files (DWG/CAD),6075 English Oaks Project Document,168010,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
doc-0324,6075 English Oaks Ln_040722 - Elevation - East.pcp,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022\6075 English Oaks Ln_040722 - Elevation - East.pcp",OTHER,design_file,Design Files (DWG/CAD),6075 English Oaks Project Document,22325,95,"\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Gansari\Naples\6075 English Oaks - Naples 2, 2022 Drawing Files\CADS 2022"
